Model,Price,Brand,Mileage,Year,Fuel
D-Max   V-Cross Automatic 3.0,8750000,Isuzu,53084,2020,Diesel
Swift   DLX 1.3,200000,Suzuki,59823,2017,Petrol
Swift   GL CVT,4150000,Suzuki,10185,2022,Petrol
Civic   Turbo 1.5 VTEC CVT,550000,Honda,55972,2017,Petrol
Tucson   AWD A/T Ultimate,870000,Hyundai,7485,2022,Petrol
Cultus   VXR,300000,Suzuki,62710,2021,Petrol
Karvaan   Base Model 1.0,21850000,Changan,30246,2020,Petrol
Alto   VXR,2360000,Suzuki,19722,2021,Petrol
HS   1.5 Turbo,690000,MG,21601,2021,Petrol
Mira   X,220000,Daihatsu,44114,2014,Petrol
Alto   VXR,210000,Suzuki,46464,2019,Petrol
Glory 580   Pro,6550000,DFSK,9216,2022,Petrol
Civic   Turbo 1.5 VTEC CVT,450000,Honda,58278,2017,Petrol
Ek Wagon   E,280000,Mitsubishi,43216,2018,Petrol
Wagon R   VXR,1950000,Suzuki,168229,2016,Petrol
Wagon R   Hybrid FX,3450000,Suzuki,21960,2020,Hybrid
Alto   VX,21250000,Suzuki,34511,2021,Petrol
Civic   Oriel 1.8 i-VTEC CVT,700000,Honda,19000,2021,Petrol
Dayz   X,210000,Nissan,100382,2015,Petrol
Corolla   Altis Automatic 1.6,440000,Toyota,46276,2018,Petrol
Mira   L SA,270000,Daihatsu,39534,2016,Petrol
City 5th Generation  1.3 i-VTEC Prosmatec,3450000,Honda,43840,2017,Petrol
Yaris   ATIV CVT 1.3,4650000,Toyota,2021,2022,Petrol
Vezel   Hybrid Z,4350000,Honda,51841,2014,Hybrid
Corolla Axio   Hybrid 1.5,4150000,Toyota,90637,2013,Petrol
City   i-DSI Vario,150000,Honda,180000,2004,Petrol
Stonic   EX+,5350000,KIA,19000,2022,Petrol
Alto   VXR,2150000,Suzuki,29166,2020,Petrol
Wagon R   VXL,2450000,Suzuki,37000,2019,Petrol
Move   Custom RS SA,38750000,Daihatsu,25219,2018,Petrol
Wagon R   VXL,2190000,Suzuki,71110,2018,Petrol
Corolla   Altis Automatic 1.6,490000,Toyota,70319,2019,Petrol
Corolla   Altis Automatic 1.6,500000,Toyota,45766,2019,Petrol
Land Cruiser   ZX,52500000,Toyota,21000,2018,Petrol
Cultus   EURO II,1450000,Suzuki,170861,2014,Petrol
Alto   GII,1650000,Suzuki,150000,2006,Petrol
Grace Hybrid 6th Generation  LX,510000,Honda,145914,2015,Petrol
Yaris   ATIV X CVT 1.5,500000,Toyota,51479,2020,Petrol
Dayz   S,310000,Nissan,52324,2018,Petrol
Yaris   ATIV X CVT 1.5,420000,Toyota,79278,2021,Petrol
Cultus   VXL,3250000,Suzuki,39249,2021,Petrol
Corolla   GLi 1.3 VVTi,2240000,Toyota,101000,2010,Petrol
Corolla Cross   Premium High Grade,12500000,Toyota,44726,2021,Hybrid
Cultus   VXR,830000,Suzuki,50000,2007,Petrol
Corolla   Altis X Automatic 1.6,6250000,Toyota,12038,2021,Petrol
Corolla   GLi Automatic 1.3 VVTi,38750000,Toyota,138463,2018,Petrol
Passo   X,20250000,Toyota,96472,2011,Petrol
Mehran   VX,60000,Suzuki,86605,2006,Petrol
Ek Wagon   E,350000,Mitsubishi,26264,2019,Petrol
